7000.1,-0.015909,-0.05182,1.0382,-1.0365,7.4764,-623.95,841.63,-6070.8,8.5435,0.10437,-0.75304,8.8503e+08,8.8503e+08
6999.9,0.066267,-0.092646,1.0387,-1.0374,7.4772,-1080.6,834.74,-6016.5,8.4653,0.18087,-1.3032,6.6133e+08,6.6133e+08
7000.1,0.0053149,-0.10177,1.038,-1.0375,7.4776,-1330,828.99,-5975,8.4038,0.22229,-1.6023,1.3649e+09,1.3649e+09
7000.1,-0.079024,0.014461,1.0388,-1.0364,7.4776,-1284.3,829.24,-5982.7,8.4169,0.21447,-1.548,5.2183e+08,5.2183e+08
7000.1,-0.041505,-0.074491,1.0371,-1.0355,7.4774,-984.29,835.38,-6032.1,8.4836,0.1643,-1.1868,3.5808e+08,3.5808e+08
6999.9,0.14419,-0.21311,1.0378,-1.0384,7.4783,-1660.7,819.95,-5905.3,8.3031,0.27738,-1.9967,2.4314e+07,2.4314e+07
7000,-0.076445,0.15379,1.0363,-1.0355,7.477,-649.08,840.67,-6070.3,8.5384,0.1083,-0.78254,7.3783e+07,7.3783e+07
7000.1,-0.17398,0.14536,1.0357,-1.0378,7.4781,-1419,827.09,-5959.7,8.3769,0.23678,-1.7075,3.493e+07,3.493e+07
6999.9,0.16677,-0.036603,1.0382,-1.0368,7.4771,-888.2,838,-6043.4,8.5031,0.14877,-1.0714,3.1947e+08,3.1947e+08
7000,0.0005246,0.14014,1.0388,-1.0381,7.4801,-2716.5,772.32,-5565.1,7.8274,0.44963,-3.2397,4.8383e+06,4.8383e+06
6999.9,-0.003382,-0.010896,1.0379,-1.0376,7.4769,-826.1,839.73,-6050.9,8.5135,0.13829,-0.99653,2.2999e+09,2.2999e+09
6999.9,0.0013209,0.080753,1.0396,-1.038,7.476,-503.51,843.93,-6078.4,8.559,0.08442,-0.60793,7.831e+07,7.831e+07
7000.2,0.16164,0.077606,1.0387,-1.0371,7.4795,-2426.2,787.06,-5676.7,7.983,0.40256,-2.9018,5.8969e+06,5.8969e+06
7000.1,-0.038093,0.020902,1.0375,-1.0362,7.4786,-1765.9,814.66,-5879.7,8.2664,0.29399,-2.1221,3.9085e+08,3.9085e+08
6999.9,0.09728,0.014275,1.0369,-1.0368,7.4762,-287.44,844.95,-6092.6,8.5732,0.048054,-0.34562,4.9872e+08,4.9872e+08
7000,0.022204,0.011996,1.0392,-1.0377,7.4769,-1040.6,835.78,-6021.8,8.4746,0.17429,-1.2555,5.8746e+08,5.8746e+08
6999.9,-0.10104,0.061372,1.036,-1.0377,7.4777,-1169.7,833.3,-6005,8.4422,0.1954,-1.4089,4.4442e+08,4.4442e+08
7000.1,-0.10657,-0.071728,1.0372,-1.0373,7.4784,-1709.5,817.55,-5894,8.2859,0.28488,-2.0548,5.0116e+08,5.0116e+08
